Search keyword report
"March 28, 2026 - April 8, 2026"
Keyword status,Keyword,Match type,Status,Status reasons,Currency code,Max. CPC,Final URL,Clicks,Impr.,CTR,Avg. CPC,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,[zero based budgeting software],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[apps like ynab],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[youneedabudget alternative],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[expense tracker app],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[multi currency budget app],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[personal finance application],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[ynab alternative],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[zero based budgeting app],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[personal finance app],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[multi currency personal finance app],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[expense tracker multiple currencies],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[budget app multiple currencies],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[best zero based budget app],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[budgeting apps],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[alternative to ynab],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[apps similar to ynab],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[ynab competitor],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[best budgeting app],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[best budgeting apps],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
Enabled,[budget software multiple currencies],Exact match,Not eligible,campaign paused,USD,3.00,,0,0, --,0,0.00,0.00%,0.00,0.00
 --,,Total: All but removed keywords, --,,USD, --,,0,0, --,0,0.00,0.00%,0.00,0.00
,,Total: Keywords in your ad group,,,USD,,,0,0, --,0,0.00,0.00%,0.00,0.00
,,Total: Your keywords,,,USD,,,0,0, --,0,0.00,0.00%,0.00,0.00
,,Total: AI Max expanded matches,,,USD,,,0,0, --,0,0.00,0.00%,0.00,0.00
,,Total: AI Max landing page matches,,,USD,,,0,0, --,0,0.00,0.00%,0.00,0.00
,,Total: URL inclusions in your ad group,,,USD,,,0,0, --,0,0.00,0.00%,0.00,0.00
,,Total: Ad group,,,USD,,,0,0, --,0,0.00,0.00%,0.00,0.00
